start,end,length,strand,frame,chromosome
243179,243611,432,1,2,chrV
295409,298001,2592,1,2,chrV
298949,301616,2667,1,2,chrV
314582,314984,402,1,2,chrV
322685,324095,1410,1,2,chrV
330575,332306,1731,1,2,chrV
333203,333713,510,1,2,chrV
342854,343232,378,1,2,chrV
349979,351182,1203,1,2,chrV
355139,355469,330,1,2,chrV
359561,360314,753,1,2,chrV
374393,374714,321,1,2,chrV
382643,382988,345,1,2,chrV
391694,391997,303,1,2,chrV
393086,393407,321,1,2,chrV
402374,402719,345,1,2,chrV
408209,408563,354,1,2,chrV
433529,433958,429,1,2,chrV
453458,454919,1461,1,2,chrV
465302,466025,723,1,2,chrV
466184,466763,579,1,2,chrV
475019,476228,1209,1,2,chrV
484787,487193,2406,1,2,chrV
501059,501452,393,1,2,chrV
505391,509798,4407,1,2,chrV
527081,529418,2337,1,2,chrV
552524,553259,735,1,2,chrV
571154,571523,369,1,2,chrV
566233,566560,327,-1,0,chrV
553333,553969,636,-1,0,chrV
528127,528535,408,-1,0,chrV
512626,512983,357,-1,0,chrV
503083,503782,699,-1,0,chrV
500629,502894,2265,-1,0,chrV
496801,498124,1323,-1,0,chrV
476344,482848,6504,-1,0,chrV
474040,474805,765,-1,0,chrV
466207,467470,1263,-1,0,chrV
465202,465613,411,-1,0,chrV
462967,464842,1875,-1,0,chrV
462385,462823,438,-1,0,chrV
460525,461740,1215,-1,0,chrV
450562,451243,681,-1,0,chrV
443755,447223,3468,-1,0,chrV
437266,437803,537,-1,0,chrV
421114,422446,1332,-1,0,chrV
407341,409063,1722,-1,0,chrV
401224,401716,492,-1,0,chrV
397951,399055,1104,-1,0,chrV
395347,396172,825,-1,0,chrV
394291,394867,576,-1,0,chrV
390589,393712,3123,-1,0,chrV
387931,390052,2121,-1,0,chrV
382594,385876,3282,-1,0,chrV
377188,377614,426,-1,0,chrV
375214,376999,1785,-1,0,chrV
373447,374545,1098,-1,0,chrV
367837,372013,4176,-1,0,chrV
335695,336019,324,-1,0,chrV
333175,335188,2013,-1,0,chrV
331816,332368,552,-1,0,chrV
326173,327097,924,-1,0,chrV
324271,325936,1665,-1,0,chrV
314533,316600,2067,-1,0,chrV
312589,313498,909,-1,0,chrV
295300,295732,432,-1,0,chrV
270736,271126,390,-1,0,chrV
262051,263698,1647,-1,0,chrV
258736,259639,903,-1,0,chrV
240031,241501,1470,-1,0,chrV
234094,234571,477,-1,0,chrV
223366,225199,1833,-1,0,chrV
218056,221287,3231,-1,0,chrV
214075,214747,672,-1,0,chrV
210691,211876,1185,-1,0,chrV
208978,210232,1254,-1,0,chrV
207643,208474,831,-1,0,chrV
195310,195646,336,-1,0,chrV
189502,191788,2286,-1,0,chrV
183730,184063,333,-1,0,chrV
175471,175885,414,-1,0,chrV
172633,173338,705,-1,0,chrV
157735,158878,1143,-1,0,chrV
145906,146755,849,-1,0,chrV
132067,132505,438,-1,0,chrV
128302,128608,306,-1,0,chrV
102580,106147,3567,-1,0,chrV
94582,94897,315,-1,0,chrV
91015,91360,345,-1,0,chrV
88048,88393,345,-1,0,chrV
87694,88012,318,-1,0,chrV
85612,86215,603,-1,0,chrV
81406,82603,1197,-1,0,chrV
80536,80881,345,-1,0,chrV
78682,79096,414,-1,0,chrV
68839,69265,426,-1,0,chrV
64708,65167,459,-1,0,chrV
52720,53218,498,-1,0,chrV
45019,45721,702,-1,0,chrV
40045,41953,1908,-1,0,chrV
31693,33466,1773,-1,0,chrV
28159,28654,495,-1,0,chrV
26188,26776,588,-1,0,chrV
25645,25978,333,-1,0,chrV
5344,5713,369,-1,0,chrV
1351,2095,744,-1,0,chrV
575679,576162,483,-1,1,chrV
574803,575379,576,-1,1,chrV
572295,572646,351,-1,1,chrV
569607,569907,300,-1,1,chrV
551472,551796,324,-1,1,chrV
549723,550527,804,-1,1,chrV
539463,540363,900,-1,1,chrV
536274,536655,381,-1,1,chrV
521028,522669,1641,-1,1,chrV
510726,511179,453,-1,1,chrV
492855,496323,3468,-1,1,chrV
491529,491958,429,-1,1,chrV
488856,490578,1722,-1,1,chrV
483324,484341,1017,-1,1,chrV
472656,473988,1332,-1,1,chrV
455145,456036,891,-1,1,chrV
441372,441819,447,-1,1,chrV
425187,430449,5262,-1,1,chrV
418101,418605,504,-1,1,chrV
402870,404352,1482,-1,1,chrV
400866,401238,372,-1,1,chrV
399495,400842,1347,-1,1,chrV
360501,361794,1293,-1,1,chrV
358104,359061,957,-1,1,chrV
327618,328140,522,-1,1,chrV
316806,318342,1536,-1,1,chrV
308412,311199,2787,-1,1,chrV
292239,292563,324,-1,1,chrV
291702,292203,501,-1,1,chrV
285240,286914,1674,-1,1,chrV
266511,268113,1602,-1,1,chrV
264891,265785,894,-1,1,chrV
256374,257958,1584,-1,1,chrV
246981,248157,1176,-1,1,chrV
226857,228252,1395,-1,1,chrV
215859,216180,321,-1,1,chrV
212586,213177,591,-1,1,chrV
199299,199713,414,-1,1,chrV
191958,192624,666,-1,1,chrV
164343,164661,318,-1,1,chrV
150300,150978,678,-1,1,chrV
127803,128130,327,-1,1,chrV
127356,127740,384,-1,1,chrV
85044,85545,501,-1,1,chrV
83049,84552,1503,-1,1,chrV
79635,79977,342,-1,1,chrV
71427,71799,372,-1,1,chrV
36534,39651,3117,-1,1,chrV
29796,31239,1443,-1,1,chrV
4083,4599,516,-1,1,chrV
574886,575393,507,-1,2,chrV
574181,574517,336,-1,2,chrV
561704,562625,921,-1,2,chrV
556295,558680,2385,-1,2,chrV
538433,539168,735,-1,2,chrV
529529,536021,6492,-1,2,chrV
499346,500348,1002,-1,2,chrV
494660,495053,393,-1,2,chrV
469685,472424,2739,-1,2,chrV
457805,460223,2418,-1,2,chrV
447701,449024,1323,-1,2,chrV
437951,438344,393,-1,2,chrV
414929,415277,348,-1,2,chrV
413393,414179,786,-1,2,chrV
401501,401804,303,-1,2,chrV
378761,382103,3342,-1,2,chrV
348728,349346,618,-1,2,chrV
343319,347612,4293,-1,2,chrV
339863,342167,2304,-1,2,chrV
335945,337340,1395,-1,2,chrV
319901,320240,339,-1,2,chrV
301946,302327,381,-1,2,chrV
282704,284222,1518,-1,2,chrV
279929,280682,753,-1,2,chrV
278297,279626,1329,-1,2,chrV
253970,254579,609,-1,2,chrV
243809,246503,2694,-1,2,chrV
237569,238016,447,-1,2,chrV
235769,237119,1350,-1,2,chrV
230438,231035,597,-1,2,chrV
228455,229205,750,-1,2,chrV
167807,171818,4011,-1,2,chrV
148721,150014,1293,-1,2,chrV
138917,139763,846,-1,2,chrV
136370,136778,408,-1,2,chrV
124736,126218,1482,-1,2,chrV
121454,121988,534,-1,2,chrV
120497,121301,804,-1,2,chrV
118616,120299,1683,-1,2,chrV
116201,116678,477,-1,2,chrV
113021,113405,384,-1,2,chrV
112634,112979,345,-1,2,chrV
108503,110552,2049,-1,2,chrV
96857,97796,939,-1,2,chrV
67628,68792,1164,-1,2,chrV
65384,66797,1413,-1,2,chrV
59669,60851,1182,-1,2,chrV
53900,56102,2202,-1,2,chrV
48470,51539,3069,-1,2,chrV
21536,23231,1695,-1,2,chrV
7229,7553,324,-1,2,chrV
4463,5114,651,-1,2,chrV
263,4097,3834,-1,2,chrV
1632,1968,336,1,0,chrVI
14574,14970,396,1,0,chrVI
46737,47067,330,1,0,chrVI
74871,75192,321,1,0,chrVI
76830,77988,1158,1,0,chrVI
109809,110184,375,1,0,chrVI
110646,111093,447,1,0,chrVI
112344,113985,1641,1,0,chrVI
139476,143517,4041,1,0,chrVI
149109,149724,615,1,0,chrVI
150015,152535,2520,1,0,chrVI
156144,157752,1608,1,0,chrVI
165066,166566,1500,1,0,chrVI
178002,178413,411,1,0,chrVI
179943,180396,453,1,0,chrVI
182307,182664,357,1,0,chrVI
183021,183321,300,1,0,chrVI
194811,196314,1503,1,0,chrVI
210936,212973,2037,1,0,chrVI
217320,217644,324,1,0,chrVI
224382,224730,348,1,0,chrVI
226962,227337,375,1,0,chrVI
227517,227856,339,1,0,chrVI
240282,240597,315,1,0,chrVI
244323,244713,390,1,0,chrVI
252504,253329,825,1,0,chrVI
52,535,483,1,1,chrVI
835,1363,528,1,1,chrVI
5065,5521,456,1,1,chrVI
9544,10222,678,1,1,chrVI
11362,12259,897,1,1,chrVI
12928,13951,1023,1,1,chrVI
23422,25198,1776,1,1,chrVI
28231,29629,1398,1,1,chrVI
36802,38674,1872,1,1,chrVI
40420,42565,2145,1,1,chrVI
42814,43438,624,1,1,chrVI
43684,44053,369,1,1,chrVI
49138,51007,1869,1,1,chrVI
51349,52972,1623,1,1,chrVI
56335,57709,1374,1,1,chrVI
65476,68698,3222,1,1,chrVI
69523,70054,531,1,1,chrVI
75178,75871,693,1,1,chrVI
80764,81115,351,1,1,chrVI
82579,83875,1296,1,1,chrVI
90985,93376,2391,1,1,chrVI
95965,97498,1533,1,1,chrVI
106414,106732,318,1,1,chrVI
119428,123106,3678,1,1,chrVI
123478,129910,6432,1,1,chrVI
130333,130981,648,1,1,chrVI
131809,134296,2487,1,1,chrVI
136081,136453,372,1,1,chrVI
145726,146026,300,1,1,chrVI
147130,148459,1329,1,1,chrVI
159298,160360,1062,1,1,chrVI
160534,161200,666,1,1,chrVI
162487,164746,2259,1,1,chrVI
167887,168496,609,1,1,chrVI
169921,172285,2364,1,1,chrVI
184501,191338,6837,1,1,chrVI
192736,193435,699,1,1,chrVI
199873,201709,1836,1,1,chrVI
207451,208297,846,1,1,chrVI
234241,237250,3009,1,1,chrVI
240475,240775,300,1,1,chrVI
246145,248134,1989,1,1,chrVI
821,1280,459,1,2,chrVI
6425,7565,1140,1,2,chrVI
17003,18680,1677,1,2,chrVI
24569,24911,342,1,2,chrVI
58781,62837,4056,1,2,chrVI
107255,107585,330,1,2,chrVI
107798,108602,804,1,2,chrVI
109211,109514,303,1,2,chrVI
116144,118484,2340,1,2,chrVI
138203,139520,1317,1,2,chrVI
153392,154313,921,1,2,chrVI
168866,169310,444,1,2,chrVI
182234,182651,417,1,2,chrVI
196832,199034,2202,1,2,chrVI
209894,210194,300,1,2,chrVI
213311,216419,3108,1,2,chrVI
225050,225803,753,1,2,chrVI
227450,228101,651,1,2,chrVI
229379,231941,2562,1,2,chrVI
238457,239060,603,1,2,chrVI
242141,242999,858,1,2,chrVI
248522,248894,372,1,2,chrVI
250499,250820,321,1,2,chrVI
264203,265226,1023,1,2,chrVI
269060,269516,456,1,2,chrVI
258854,259433,579,-1,0,chrVI
249065,249866,801,-1,0,chrVI
222089,222959,870,-1,0,chrVI
216593,220106,3513,-1,0,chrVI
212210,212642,432,-1,0,chrVI
208412,210068,1656,-1,0,chrVI
201959,203081,1122,-1,0,chrVI
182273,182861,588,-1,0,chrVI
177041,180743,3702,-1,0,chrVI
166745,167258,513,-1,0,chrVI
154526,155873,1347,-1,0,chrVI
151634,151970,336,-1,0,chrVI
141395,141710,315,-1,0,chrVI
105569,105947,378,-1,0,chrVI
103982,104462,480,-1,0,chrVI
101627,103127,1500,-1,0,chrVI
99230,99599,369,-1,0,chrVI
79343,80213,870,-1,0,chrVI
45719,47744,2025,-1,0,chrVI
44654,45560,906,-1,0,chrVI
20846,22787,1941,-1,0,chrVI
14792,15431,639,-1,0,chrVI
3029,3338,309,-1,0,chrVI
1436,2615,1179,-1,0,chrVI
263956,264325,369,-1,1,chrVI
253591,255049,1458,-1,1,chrVI
250162,251803,1641,-1,1,chrVI
243073,244159,1086,-1,1,chrVI
239113,239827,714,-1,1,chrVI
237367,238255,888,-1,1,chrVI
230407,230800,393,-1,1,chrVI
227512,229186,1674,-1,1,chrVI
226120,226465,345,-1,1,chrVI
225019,225958,939,-1,1,chrVI
214753,215146,393,-1,1,chrVI
207856,208261,405,-1,1,chrVI
205747,206257,510,-1,1,chrVI
202060,202654,594,-1,1,chrVI
185197,185503,306,-1,1,chrVI
184759,185065,306,-1,1,chrVI
183130,184222,1092,-1,1,chrVI
152656,153124,468,-1,1,chrVI
107851,109930,2079,-1,1,chrVI
106468,106963,495,-1,1,chrVI
46426,46735,309,-1,1,chrVI
43627,44392,765,-1,1,chrVI
38842,40180,1338,-1,1,chrVI
33271,35848,2577,-1,1,chrVI
10300,10969,669,-1,1,chrVI
253428,253734,306,-1,2,chrVI
251049,251487,438,-1,2,chrVI
247512,248058,546,-1,2,chrVI
244278,245166,888,-1,2,chrVI
239991,241437,1446,-1,2,chrVI
232011,233544,1533,-1,2,chrVI
224325,224769,444,-1,2,chrVI
203742,204750,1008,-1,2,chrVI
187068,187419,351,-1,2,chrVI
174264,176391,2127,-1,2,chrVI
172536,173877,1341,-1,2,chrVI
170115,170652,537,-1,2,chrVI
145113,146934,1821,-1,2,chrVI
134520,137157,2637,-1,2,chrVI
132498,132852,354,-1,2,chrVI
132009,132411,402,-1,2,chrVI
115107,115743,636,-1,2,chrVI
104700,106236,1536,-1,2,chrVI
100251,100605,354,-1,2,chrVI
96642,97026,384,-1,2,chrVI
95760,96615,855,-1,2,chrVI
93498,95010,1512,-1,2,chrVI
87846,90345,2499,-1,2,chrVI
84144,87234,3090,-1,2,chrVI
80418,81912,1494,-1,2,chrVI
78054,79161,1107,-1,2,chrVI
69114,74427,5313,-1,2,chrVI
63015,63795,780,-1,2,chrVI
55365,55986,621,-1,2,chrVI
53259,54342,1083,-1,2,chrVI
52584,52995,411,-1,2,chrVI
34824,35133,309,-1,2,chrVI
30057,30540,483,-1,2,chrVI
14304,14763,459,-1,2,chrVI
3321,3846,525,-1,2,chrVI
774,1302,528,-1,2,chrVI
8469,8967,498,1,0,chrVII
11109,11730,621,1,0,chrVII
23934,25395,1461,1,0,chrVII
35652,36762,1110,1,0,chrVII
45444,48459,3015,1,0,chrVII
48513,49365,852,1,0,chrVII
49551,52434,2883,1,0,chrVII
55278,55815,537,1,0,chrVII
56481,58890,2409,1,0,chrVII
59121,61854,2733,1,0,chrVII
76893,77907,1014,1,0,chrVII
83649,84300,651,1,0,chrVII
90009,90495,486,1,0,chrVII
91431,92382,951,1,0,chrVII
92511,93591,1080,1,0,chrVII
116058,117561,1503,1,0,chrVII
129882,131169,1287,1,0,chrVII
142245,144048,1803,1,0,chrVII
144807,145197,390,1,0,chrVII
145824,146265,441,1,0,chrVII
157905,159096,1191,1,0,chrVII
168066,170571,2505,1,0,chrVII
180699,182118,1419,1,0,chrVII
199248,199587,339,1,0,chrVII
214080,215211,1131,1,0,chrVII
226398,227529,1131,1,0,chrVII
245715,248124,2409,1,0,chrVII
250497,252738,2241,1,0,chrVII
254640,255294,654,1,0,chrVII
257706,261501,3795,1,0,chrVII
261579,261915,336,1,0,chrVII
270996,272139,1143,1,0,chrVII
292032,293001,969,1,0,chrVII
312192,312840,648,1,0,chrVII
313233,314283,1050,1,0,chrVII
337905,341859,3954,1,0,chrVII
347118,349368,2250,1,0,chrVII
358635,359028,393,1,0,chrVII
396129,396495,366,1,0,chrVII
402588,403302,714,1,0,chrVII
403686,404391,705,1,0,chrVII
408888,409257,369,1,0,chrVII
418824,419289,465,1,0,chrVII
423960,425007,1047,1,0,chrVII
449787,450123,336,1,0,chrVII
452403,454560,2157,1,0,chrVII
466140,468807,2667,1,0,chrVII
472854,474276,1422,1,0,chrVII
512496,512823,327,1,0,chrVII
516942,520863,3921,1,0,chrVII
525228,526644,1416,1,0,chrVII
527631,528504,873,1,0,chrVII
529263,530919,1656,1,0,chrVII
532638,532941,303,1,0,chrVII
542202,543291,1089,1,0,chrVII
574887,575199,312,1,0,chrVII
575397,576504,1107,1,0,chrVII
593595,594705,1110,1,0,chrVII
606135,607143,1008,1,0,chrVII
610563,611493,930,1,0,chrVII
640719,641832,1113,1,0,chrVII
642009,643008,999,1,0,chrVII
644043,644595,552,1,0,chrVII
654600,656322,1722,1,0,chrVII
676620,677565,945,1,0,chrVII
685599,685911,312,1,0,chrVII
701277,701583,306,1,0,chrVII
702666,703116,450,1,0,chrVII
703635,705051,1416,1,0,chrVII
708555,712254,3699,1,0,chrVII
715827,717030,1203,1,0,chrVII
717357,718527,1170,1,0,chrVII
720408,724764,4356,1,0,chrVII
728253,728586,333,1,0,chrVII
750399,751047,648,1,0,chrVII
754725,755250,525,1,0,chrVII
759648,759960,312,1,0,chrVII
761391,762168,777,1,0,chrVII
770568,771972,1404,1,0,chrVII
786108,786438,330,1,0,chrVII
789030,790329,1299,1,0,chrVII
807072,807684,612,1,0,chrVII
811737,813054,1317,1,0,chrVII
824058,826917,2859,1,0,chrVII
828624,828960,336,1,0,chrVII
830514,832197,1683,1,0,chrVII
832455,833157,702,1,0,chrVII
837141,840558,3417,1,0,chrVII
869220,869598,378,1,0,chrVII
876981,877347,366,1,0,chrVII
880419,882231,1812,1,0,chrVII
897501,899781,2280,1,0,chrVII
910431,910737,306,1,0,chrVII
915240,916701,1461,1,0,chrVII
945144,946374,1230,1,0,chrVII
978306,978828,522,1,0,chrVII
982545,982986,441,1,0,chrVII
985971,986739,768,1,0,chrVII
1000926,1002240,1314,1,0,chrVII
1021647,1022058,411,1,0,chrVII
1022655,1024761,2106,1,0,chrVII
1031790,1037694,5904,1,0,chrVII
1046730,1048464,1734,1,0,chrVII
1052823,1057257,4434,1,0,chrVII
1070292,1071714,1422,1,0,chrVII
1076598,1078353,1755,1,0,chrVII
5311,5839,528,1,1,chrVII
20977,22108,1131,1,1,chrVII
22303,23203,900,1,1,chrVII
31897,32635,738,1,1,chrVII
33097,35212,2115,1,1,chrVII
38974,41149,2175,1,1,chrVII
41497,43174,1677,1,1,chrVII
43306,44509,1203,1,1,chrVII
67597,69331,1734,1,1,chrVII
69670,72547,2877,1,1,chrVII
73339,73711,372,1,1,chrVII
95857,97006,1149,1,1,chrVII
98968,102076,3108,1,1,chrVII
108157,110404,2247,1,1,chrVII
112885,113233,348,1,1,chrVII
131524,139543,8019,1,1,chrVII
154714,155179,465,1,1,chrVII
174544,175345,801,1,1,chrVII
182389,184084,1695,1,1,chrVII
186058,187339,1281,1,1,chrVII
191128,191806,678,1,1,chrVII
200560,202273,1713,1,1,chrVII
202720,203833,1113,1,1,chrVII
209005,210049,1044,1,1,chrVII
210415,213667,3252,1,1,chrVII
223708,224098,390,1,1,chrVII
224590,224965,375,1,1,chrVII
225571,225877,306,1,1,chrVII
229351,229660,309,1,1,chrVII
230242,232348,2106,1,1,chrVII
264856,265156,300,1,1,chrVII
288511,289309,798,1,1,chrVII
299977,301369,1392,1,1,chrVII
306559,307009,450,1,1,chrVII
309208,309751,543,1,1,chrVII
317341,318079,738,1,1,chrVII
321781,323230,1449,1,1,chrVII
325330,326161,831,1,1,chrVII
334885,337639,2754,1,1,chrVII
343318,344584,1266,1,1,chrVII
345835,346201,366,1,1,chrVII
349615,350440,825,1,1,chrVII
357376,358339,963,1,1,chrVII
359443,360100,657,1,1,chrVII
368752,371254,2502,1,1,chrVII
377608,379582,1974,1,1,chrVII
382276,382669,393,1,1,chrVII
383653,384766,1113,1,1,chrVII
385195,388732,3537,1,1,chrVII
389971,391990,2019,1,1,chrVII
393985,394504,519,1,1,chrVII
405775,406597,822,1,1,chrVII
440062,440425,363,1,1,chrVII
458155,458992,837,1,1,chrVII
459853,461365,1512,1,1,chrVII
461665,464911,3246,1,1,chrVII
483259,483637,378,1,1,chrVII
485920,489442,3522,1,1,chrVII
500131,502366,2235,1,1,chrVII
506968,507940,972,1,1,chrVII
523786,524680,894,1,1,chrVII
532984,533821,837,1,1,chrVII
536056,537379,1323,1,1,chrVII
548263,553951,5688,1,1,chrVII
570901,571216,315,1,1,chrVII
577486,579130,1644,1,1,chrVII
579475,580291,816,1,1,chrVII
589825,590911,1086,1,1,chrVII
591313,591877,564,1,1,chrVII
596692,598621,1929,1,1,chrVII
599416,601141,1725,1,1,chrVII
601660,604447,2787,1,1,chrVII
617620,617989,369,1,1,chrVII
624103,624442,339,1,1,chrVII
627082,627418,336,1,1,chrVII
627805,631273,3468,1,1,chrVII
634303,635467,1164,1,1,chrVII
646108,646486,378,1,1,chrVII
656959,659770,2811,1,1,chrVII
666340,667825,1485,1,1,chrVII
668188,669907,1719,1,1,chrVII
670387,671911,1524,1,1,chrVII
678694,682135,3441,1,1,chrVII
687898,689965,2067,1,1,chrVII
690244,693097,2853,1,1,chrVII
695416,697234,1818,1,1,chrVII
742324,745435,3111,1,1,chrVII
745834,746527,693,1,1,chrVII
746797,747736,939,1,1,chrVII
756895,757447,552,1,1,chrVII
762427,763153,726,1,1,chrVII
767428,770299,2871,1,1,chrVII
772453,773686,1233,1,1,chrVII
775192,777508,2316,1,1,chrVII
779071,779422,351,1,1,chrVII
790849,791488,639,1,1,chrVII
800545,801823,1278,1,1,chrVII
813010,817051,4041,1,1,chrVII
824131,824461,330,1,1,chrVII
827551,828577,1026,1,1,chrVII
843853,844960,1107,1,1,chrVII
848719,849067,348,1,1,chrVII
851851,852226,375,1,1,chrVII
858286,858604,318,1,1,chrVII
865189,865495,306,1,1,chrVII
873706,874033,327,1,1,chrVII
885034,885427,393,1,1,chrVII
905236,905683,447,1,1,chrVII
922174,922507,333,1,1,chrVII
936034,936376,342,1,1,chrVII
939922,940804,882,1,1,chrVII
942805,944647,1842,1,1,chrVII
947419,948997,1578,1,1,chrVII
949519,949867,348,1,1,chrVII
953959,954646,687,1,1,chrVII
963670,964186,516,1,1,chrVII
972637,973003,366,1,1,chrVII
976414,976723,309,1,1,chrVII
977335,977776,441,1,1,chrVII
979918,980476,558,1,1,chrVII
988048,989419,1371,1,1,chrVII
995638,996229,591,1,1,chrVII
996868,998188,1320,1,1,chrVII
1004623,1006102,1479,1,1,chrVII
1027369,1031509,4140,1,1,chrVII
1043188,1043749,561,1,1,chrVII
1085203,1090591,5388,1,1,chrVII
2789,3932,1143,1,2,chrVII
14909,16307,1398,1,2,chrVII
36932,37526,594,1,2,chrVII
62555,63002,447,1,2,chrVII
82373,82736,363,1,2,chrVII
84884,87302,2418,1,2,chrVII
87980,89339,1359,1,2,chrVII
93791,94460,669,1,2,chrVII
95357,95708,351,1,2,chrVII
97337,98585,1248,1,2,chrVII
114353,114659,306,1,2,chrVII
118013,118340,327,1,2,chrVII
119510,119825,315,1,2,chrVII
122954,123299,345,1,2,chrVII
123590,124298,708,1,2,chrVII
124697,129161,4464,1,2,chrVII
160064,162758,2694,1,2,chrVII
164321,164699,378,1,2,chrVII
167558,167906,348,1,2,chrVII
187463,187796,333,1,2,chrVII
188627,188930,303,1,2,chrVII
189326,189728,402,1,2,chrVII
192143,192512,369,1,2,chrVII
198137,199037,900,1,2,chrVII
207032,208571,1539,1,2,chrVII
216272,217298,1026,1,2,chrVII
217523,220922,3399,1,2,chrVII
223463,223772,309,1,2,chrVII
238352,241085,2733,1,2,chrVII
255662,256964,1302,1,2,chrVII
266144,267524,1380,1,2,chrVII
272519,274322,1803,1,2,chrVII
277616,278381,765,1,2,chrVII
284441,285947,1506,1,2,chrVII
289808,291641,1833,1,2,chrVII
293459,295637,2178,1,2,chrVII
295931,297938,2007,1,2,chrVII
303512,303836,324,1,2,chrVII
307436,308567,1131,1,2,chrVII
311576,311927,351,1,2,chrVII
314630,316553,1923,1,2,chrVII
342671,342983,312,1,2,chrVII
353057,355472,2415,1,2,chrVII
355826,356972,1146,1,2,chrVII
372011,374084,2073,1,2,chrVII
375086,375671,585,1,2,chrVII
376100,377255,1155,1,2,chrVII
392222,393698,1476,1,2,chrVII
396716,397046,330,1,2,chrVII
397937,398282,345,1,2,chrVII
398627,400160,1533,1,2,chrVII
403436,403742,306,1,2,chrVII
411551,412160,609,1,2,chrVII
414101,415730,1629,1,2,chrVII
417482,418412,930,1,2,chrVII
428600,431330,2730,1,2,chrVII
449360,449666,306,1,2,chrVII
451265,451841,576,1,2,chrVII
454784,457067,2283,1,2,chrVII
475544,476069,525,1,2,chrVII
481319,481688,369,1,2,chrVII
481811,482210,399,1,2,chrVII
494516,495167,651,1,2,chrVII
502937,504326,1389,1,2,chrVII
506069,506825,756,1,2,chrVII
511544,512732,1188,1,2,chrVII
513158,514340,1182,1,2,chrVII
514553,516416,1863,1,2,chrVII
522260,522833,573,1,2,chrVII
537857,541325,3468,1,2,chrVII
543851,544205,354,1,2,chrVII
546440,547469,1029,1,2,chrVII
560681,561350,669,1,2,chrVII
584894,586052,1158,1,2,chrVII
607562,609101,1539,1,2,chrVII
616727,617165,438,1,2,chrVII
618551,618902,351,1,2,chrVII
635711,636152,441,1,2,chrVII
643373,643679,306,1,2,chrVII
662357,666071,3714,1,2,chrVII
672185,675500,3315,1,2,chrVII
693362,694403,1041,1,2,chrVII
707609,708482,873,1,2,chrVII
713708,715046,1338,1,2,chrVII
718892,719924,1032,1,2,chrVII
733934,735143,1209,1,2,chrVII
739943,741662,1719,1,2,chrVII
757769,761138,3369,1,2,chrVII
762887,763262,375,1,2,chrVII
765725,766064,339,1,2,chrVII
780398,781379,981,1,2,chrVII
781766,783890,2124,1,2,chrVII
796091,796745,654,1,2,chrVII
798542,800066,1524,1,2,chrVII
802439,805049,2610,1,2,chrVII
829115,830153,1038,1,2,chrVII
847973,848315,342,1,2,chrVII
867773,869981,2208,1,2,chrVII
888881,889622,741,1,2,chrVII
894692,897146,2454,1,2,chrVII
897986,898325,339,1,2,chrVII
905933,908774,2841,1,2,chrVII
909212,910085,873,1,2,chrVII
911882,912812,930,1,2,chrVII
917039,918446,1407,1,2,chrVII
924695,930815,6120,1,2,chrVII
932540,935795,3255,1,2,chrVII
949364,949709,345,1,2,chrVII
951893,952307,414,1,2,chrVII
959903,961103,1200,1,2,chrVII
968087,968417,330,1,2,chrVII
984965,985685,720,1,2,chrVII
1012484,1014089,1605,1,2,chrVII
1026635,1026962,327,1,2,chrVII
1039955,1040273,318,1,2,chrVII
1062080,1062401,321,1,2,chrVII
1075481,1075925,444,1,2,chrVII
1080305,1080668,363,1,2,chrVII
1088930,1089506,576,1,2,chrVII
1081583,1082729,1146,-1,0,chrVII
1059014,1060040,1026,-1,0,chrVII
1057931,1058303,372,-1,0,chrVII
1045643,1046561,918,-1,0,chrVII
1026056,1026653,597,-1,0,chrVII
1025003,1025735,732,-1,0,chrVII
1019597,1021853,2256,-1,0,chrVII
1014320,1016750,2430,-1,0,chrVII
998357,999140,783,-1,0,chrVII
991175,993521,2346,-1,0,chrVII
982481,984272,1791,-1,0,chrVII
978035,979319,1284,-1,0,chrVII
966038,968687,2649,-1,0,chrVII
952547,953480,933,-1,0,chrVII
946400,946856,456,-1,0,chrVII
940868,942215,1347,-1,0,chrVII
913502,914738,1236,-1,0,chrVII
903473,904748,1275,-1,0,chrVII
902519,903344,825,-1,0,chrVII
899903,902270,2367,-1,0,chrVII
892496,894140,1644,-1,0,chrVII
880295,880661,366,-1,0,chrVII
876668,878192,1524,-1,0,chrVII
855263,856301,1038,-1,0,chrVII
848828,850436,1608,-1,0,chrVII
846932,848423,1491,-1,0,chrVII
833351,834482,1131,-1,0,chrVII
824525,825137,612,-1,0,chrVII
819632,819944,312,-1,0,chrVII
808628,809420,792,-1,0,chrVII
806411,807656,1245,-1,0,chrVII
805268,806021,753,-1,0,chrVII
794654,794990,336,-1,0,chrVII
786053,786920,867,-1,0,chrVII
776609,776915,306,-1,0,chrVII
755588,756452,864,-1,0,chrVII
736661,738203,1542,-1,0,chrVII
728045,729671,1626,-1,0,chrVII
725048,726479,1431,-1,0,chrVII
720371,721151,780,-1,0,chrVII
718103,718436,333,-1,0,chrVII
696179,696503,324,-1,0,chrVII
694583,695135,552,-1,0,chrVII
682565,687458,4893,-1,0,chrVII
637103,637577,474,-1,0,chrVII
636146,636875,729,-1,0,chrVII
611888,615965,4077,-1,0,chrVII
604772,605510,738,-1,0,chrVII
592085,592442,357,-1,0,chrVII
586391,589469,3078,-1,0,chrVII
582989,583892,903,-1,0,chrVII
573092,574142,1050,-1,0,chrVII
